,base_page_url,parent_page_url,current_page_url,page_hop,parent_page_index,parent_page_toc_item,abs_page_toc_item,index,toc_item,ancestor_toc_item,page_contents
0,https://namu.wiki/w/ILLIT,,https://namu.wiki/w/ILLIT,0,,,PROFILE,0.,PROFILE,,"ILLIT아일릿 · アイリット,,ILLIT아일릿 · アイリット,결성일,2023년9월 1일(#fn-1; HYBE 빌리프랩의 걸그룹 오디션 알유넥스트를 통해 결성되었다.)(결성일로부터+331일, 0주년)데뷔일,2024년 3월 25일(데뷔일로부터 +125일, 0주년),데뷔 음반,미니 1집 SUPER REAL MESUPER REAL MESUPER REAL ME,장르,K-POP,댄스 팝,R&B,힙합,플러그엔비,House(#fn-2; [공식기사] Magnetic 타이틀곡의 장르는 플러그엔비와 하우스(House)가 섞인 댄스 곡. 아르페지오 신스와 다이내믹한 베이스로 강렬한 리듬감을 보여준다.)소속사,빌리프랩,레이블,HYBE LABELS,유통사, 대한민국 행정구 속령,지니뮤직,스톤뮤직엔터테인먼트, 중국 행정구 속령,텐센트 뮤직 엔터테인먼트,팬덤,ILLIT/팬덤ILLIT/팬덤ILLIT/팬덤,ILLIT/팬덤ILLIT/팬덤ILLIT/팬덤,공식사이트, 대한민국 행정구 속령, , 일본 행정구 속령, ,링크, ⠀[ 펼치기 · 접기 ] 대한민국 행정구 속령공식｜멤버｜｜｜｜｜ 일본 행정구 속령 중국 행정구 속령｜, 대한민국 행정구 속령,공식｜멤버｜｜,｜｜｜, 일본 행정구 속령,, 중국 행정구 속령,｜,"
1,https://namu.wiki/w/ILLIT,,https://namu.wiki/w/ILLIT,0,,,개요,1.,개요,,"JTBC의 아이돌 오디션 프로그램 '알유넥스트'에서 결성되어,2024년3월 25일데뷔한빌리프랩소속의 5인조다국적 걸그룹.(#fn-4; 한국인 3명, 일본인 2명.) ,둘, 셋!(#fn-3; 원희가 선창한다.)안녕하세요, ILLIT입니다!"
2,https://namu.wiki/w/ILLIT,,https://namu.wiki/w/ILLIT,0,,,멤버,2.,멤버,," ,,,,,,윤아,민주,모카,원희,이로하,2004. 01. 15. (20세), 대한민국 행정구 속령,2004. 05. 11. (20세), 대한민국 행정구 속령,2004. 10. 08. (19세), 일본 행정구 속령,2007. 06. 26. (17세), 대한민국 행정구 속령,2008. 02. 04. (16세), 일본 행정구 속령,"
3,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT/%EB%A9%A4%EB%B2%84%20%EA%B0%84%20%EC%BC%80%EB%AF%B8,1,2.1.,멤버 간 케미,멤버/멤버 간 케미//개요,1.,개요,,ILLIT의 멤버 간 케미를 설명한 문서.
4,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT/%EB%A9%A4%EB%B2%84%20%EA%B0%84%20%EC%BC%80%EB%AF%B8,1,2.1.,멤버 간 케미,멤버/멤버 간 케미//멤버 간 케미,2.,멤버 간 케미,,",윤아,민주,모카,원희,이로하,윤아,🐆,치토스,아카즈,히치즈,츄로스,민주,치토스,🐰,미모즈,마희쭈,울보즈,모카,아카즈,미모즈,🐹,모희또즈,모카롱,원희,히치즈,마희쭈,모희또즈,🦔,희어로즈,이로하,츄로스,울보즈,모카롱,희어로즈,🐢, ILLIT 멤버 본인들이 만들거나 팬들의 언급에 호응하여 공식적으로 밝힌 케미는 《🧡》 로 표시.,1. 공식적으로 밝힌 케미명은 문단 내에 공식화된 날짜와 출처 링크를 첨부합니다.2. 공식화 된 케미명을 앞으로 위치시키고, 나머지 케미명은 가나다 순으로 정렬, 나이 순서대로 작성해주세요., ,윤아,민주,모카,원희,이로하,윤아,🐆,치토스,아카즈,히치즈,츄로스,민주,치토스,🐰,미모즈,마희쭈,울보즈,모카,아카즈,미모즈,🐹,모희또즈,모카롱,원희,히치즈,마희쭈,모희또즈,🦔,희어로즈,이로하,츄로스,울보즈,모카롱,희어로즈,🐢,"
5,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT/%EB%A9%A4%EB%B2%84%20%EA%B0%84%20%EC%BC%80%EB%AF%B8,1,2.1.,멤버 간 케미,멤버/멤버 간 케미//멤버 간 케미/2인,2.1.,2인,멤버 간 케미,해당 섹션에 대한 설명이 없거나 하위 문서로 대체됩니다.
6,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT/%EB%A9%A4%EB%B2%84%20%EA%B0%84%20%EC%BC%80%EB%AF%B8,1,2.1.,멤버 간 케미,멤버/멤버 간 케미//멤버 간 케미/2인/윤아 + 민주,2.1.1.,윤아 + 민주,멤버 간 케미/2인,치토스 윤아를 치타에 비유해 치 + 민주를 토끼에 비유해 토를 조합해 치토스가 되었다.
7,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT/%EB%A9%A4%EB%B2%84%20%EA%B0%84%20%EC%BC%80%EB%AF%B8,1,2.1.,멤버 간 케미,멤버/멤버 간 케미//멤버 간 케미/2인/윤아 + 모카,2.1.2.,윤아 + 모카,멤버 간 케미/2인,햄치즈 모카를 햄스터로 비유해 '햄' + 윤아를 치타에 비유해 '치'. 조합해 <햄치즈>가 되었다.  아카즈 윤아 + 모카. 각자 이름의 글자를 따서 조합명을 만들었다. [赤(あか) ちゃん][아카짱] 아기라는 뜻이다.
8,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT/%EB%A9%A4%EB%B2%84%20%EA%B0%84%20%EC%BC%80%EB%AF%B8,1,2.1.,멤버 간 케미,멤버/멤버 간 케미//멤버 간 케미/2인/윤아 + 원희,2.1.3.,윤아 + 원희,멤버 간 케미/2인,"히치즈🧡 원희의 별명 원히의 '히'와 윤아를 치타에 비유해 '치'를 결합한 조합명이다. 2023년 11월 21일 아일릿 제주도 리얼리티  I’LL LIKE IT!에서 공식화가 되었다.  와플즈 윤아, 원희 둘 다 디저트 중에서 와플을 가장 좋아해서 붙혀진 이름이다.  N차원즈 알유넥스트 마지막화 지목토크 하는 시간에 '연습생 중 N차원은?'주제에서 원희 5표, 윤아 3표로 가장 많은 표를 받았다. 윤아와 원희가 같은 방을 쓰게 되었을때, 재밌는 시간을 보낸다. 영상에서 N차원 듀오로 자막이 나오면서 케미명이 N차원즈가 되었다."
9,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT,https://namu.wiki/w/ILLIT/%EB%A9%A4%EB%B2%84%20%EA%B0%84%20%EC%BC%80%EB%AF%B8,1,2.1.,멤버 간 케미,멤버/멤버 간 케미//멤버 간 케미/2인/윤아 + 이로하,2.1.4.,윤아 + 이로하,멤버 간 케미/2인,맏막즈🧡 팀에서 맏이인 윤아와 막내 이로하의 조합이다. 2023년 11월 14일 아일릿 제주도 리얼리티  I’LL LIKE IT!에서 공식화가 되었다.  츄로스 윤아의 별명 메추리알과 이로하를 조합하여 추로스에 빗댄 조합명을 만들었다.
