base_page_url,parent_page_url,current_page_url,page_hop,parent_page_index,parent_page_toc_item,abs_page_toc_item,index,toc_item,ancestor_toc_item,page_content
https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),,https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),0,,,PROFILE,0.,PROFILE,,"퀸Queen,,퀸Queen,,▲ 왼쪽부터 시계방향으로로저 테일러,존 디콘,프레디 머큐리,브라이언 메이(#fn-1; 1980년의 퀸의 모습이다.) ▼ 다른 사진 보기초창기 (1973년)왼쪽부터 브라이언 메이, 존 디콘, 프레디 머큐리, 로저 테일러 전성기 (1975년)왼쪽부터 존 디콘, 프레디 머큐리, 브라이언 메이, 로저 테일러 과도기 (1984년)왼쪽부터"
https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),,https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),0,,,개요,1.,개요,,"퀸은1970년에 결성되어 현재까지 활동하고 있는영국의록 밴드이다.퀸은비틀즈,롤링 스톤스,레드 제플린처럼 특정 장르에 얽매이지 않고 폭 넓은 사운드를 선보이는 밴드였다. 초반에는레드 제플린과데이비드 보위의 영향을 받은 음악과 무대 의상 때문에하드 록과메탈 음악, 그리고글램 록으로 분류되었지만(#fn-8; 이 중에서 글램 록은 2, 3집 한정이지만, 하드 록은"
https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),,https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),0,,,약력,2.,약력,,"브라이언 메이가 임페리얼 칼리지 런던 시절 만든 밴드인 ‘스마일’이 모체이며, 이후 드럼을 치던 치의대 출신 로저 테일러가 가입하고, 뒤이어 보컬인 프레디 머큐리가, 그리고 마지막으로 킹스 칼리지 런던에 다니던 존 디콘이 베이시스트로 합류하여 1971년 밴드 라인업이 완성되었다. 약 2년 간 밴드는 학업과 음악 활동을 병행하다가 1973년 1집 Queen을"
https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),,https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),0,,,상징,3.,상징,,해당 섹션에 대한 설명이 없거나 하위 문서로 대체됩니다.
https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),,https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),0,,,상징/밴드명,3.1.,밴드명,상징,"퀸은 원래 ‘퀸’이라는 이름이 아닌, ‘스마일’이라는 이름이었다. 밴드 초기, 보컬 자리가 비어 난항에 빠진 스마일은 새로운 보컬을 뽑기 위해 오디션을 실시했다. 당시 프레디 머큐리는 로저 테일러와 같은 아파트에 살고 있었는데 스마일이 보컬 오디션을 한다는 소식을 듣자 처음부터 스마일과 가까운 관계였던 자신에게 먼저 얘기해 주지 않은 것을 매우 섭섭해 했다"
https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),,https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),0,,,상징/로고,3.2.,로고,상징," 인상적인 로고로 유명한데, 이 로고는 프레디 머큐리가 직접 디자인했다.(#fn-13; 프레디 머큐리는 미대 출신이다. 이후 A Night at the Opera와 Hot Space 앨범 커버도 본인이 직접 디자인했다.)커버에 있는 그림은 멤버들의 별자리를 나타낸 그림이다. 각각 프레디 머큐리는처녀자리, 브라이언 메이는게자리, 로저 테일러와 존 디콘은사자자"
https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),,https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),0,,,멤버,4.,멤버,,"밴드 자체의 낮은 평가와는 별개로 멤버들의 역량은 매우 뛰어났다. 비록 인간 흉기들의 모임인 크림, 더 후, 레드 제플린 정도까진 아니어도, 평론가들에게 역량 갖다가 까이는 경우는 거의 없을 정도로 기본기가 튼튼했다. 이 중에서도 프레디 머큐리와 브라이언 메이는 각 분야의 최고 실력자들 중 한 명으로 꼽힌다. 프레디 머큐리는로버트 플랜트,로저 달트리,이안 "
https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),,https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),0,,,멤버/전 멤버 및 세션 멤버,4.1.,전 멤버 및 세션 멤버,멤버,"   퀸의 이전 멤버,,팀 스타펠Tim Staffell(#fn-28; 다만 팀 스타펠은 퀸의 정식 멤버는 아니고 그의 전신 밴드인 스마일의 멤버였다.)생몰,1948년 2월 24일 (76세),출신지, 영국 잉글랜드 런던 아일워스,활동,1968년 - 1970년,포지션,보컬, 베이스 기타,(#fn-29; 오른쪽의 인물, 왼쪽은 로저 테일러이다.)마이크 그로즈 M"
https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C)/%EC%97%AD%EC%82%AC,1,5.,역사,역사//개요,1.,개요,,영국의 록밴드 퀸의 역사를 서술한 문서이다.
https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C),https://namu.wiki/w/%ED%80%B8(%EB%B0%B4%EB%93%9C)/%EC%97%AD%EC%82%AC,1,5.,역사,역사//역사,2.,역사,,해당 섹션에 대한 설명이 없거나 하위 문서로 대체됩니다.
